timestamp,open,high,low,close,volume,trade_count,vwap,1hr50ema,15min50ema,macd,signal,histogram
2021-01-04 09:00:00+00:00,133.31,133.77,133.02,133.72,31834,191,133.292494,,,,,
2021-01-04 09:05:00+00:00,133.71,133.98,133.71,133.98,11330,178,133.83145,,,,,
2021-01-04 09:10:00+00:00,133.98,134.0,133.74,133.74,8664,154,133.903412,,,,,
2021-01-04 09:15:00+00:00,133.98,134.01,133.94,133.95,25150,111,133.993122,,,,,
2021-01-04 09:20:00+00:00,133.9,133.95,133.83,133.83,2295,42,133.890758,,,,,
2021-01-04 09:25:00+00:00,133.89,134.0,133.88,134.0,3762,78,133.935074,,,,,
2021-01-04 09:30:00+00:00,134.0,134.0,133.91,133.91,3505,54,133.979204,,,,,
2021-01-04 09:35:00+00:00,133.96,133.96,133.9,133.9,2225,57,133.937124,,,,,
2021-01-04 09:40:00+00:00,133.9,133.9,133.55,133.85,4870,93,133.843119,,,,,
2021-01-04 09:45:00+00:00,133.86,133.86,133.5,133.58,10509,146,133.64683,,,,,
2021-01-04 09:50:00+00:00,133.6,133.6,133.5,133.6,5321,97,133.576495,,,,,
2021-01-04 09:55:00+00:00,133.58,133.6,133.58,133.6,2664,55,133.597346,,,,,
2021-01-04 10:00:00+00:00,133.6,133.95,133.6,133.9,21861,77,133.639474,,,,,
2021-01-04 10:05:00+00:00,133.8,133.86,133.8,133.81,3199,90,133.811863,,,,,
2021-01-04 10:10:00+00:00,133.69,133.69,133.6,133.6,9733,79,133.611409,,,,,
2021-01-04 10:15:00+00:00,133.68,133.68,133.53,133.54,7046,116,133.609896,,,,,
2021-01-04 10:20:00+00:00,133.5,133.54,133.43,133.53,4716,100,133.504544,,,,,
2021-01-04 10:25:00+00:00,133.54,133.55,133.53,133.53,9192,91,133.533978,,,,,
2021-01-04 10:30:00+00:00,133.59,133.8,133.59,133.8,3000,31,133.696916,,,,,
2021-01-04 10:35:00+00:00,133.77,134.29,133.77,134.23,36910,148,134.120637,,,,,
2021-01-04 10:40:00+00:00,134.15,134.43,134.05,134.31,18904,136,134.298708,,,,,
2021-01-04 10:45:00+00:00,134.31,134.41,134.24,134.41,9460,114,134.340393,,,,,
2021-01-04 10:50:00+00:00,134.4,134.4,134.24,134.27,32991,60,134.357513,,,,,
2021-01-04 10:55:00+00:00,134.29,134.42,134.29,134.3,6245,82,134.34318,,,,,
2021-01-04 11:00:00+00:00,134.22,134.32,134.17,134.3,4739,59,134.275125,,,,,
2021-01-04 11:05:00+00:00,134.3,134.35,134.3,134.35,2321,16,134.332844,,,0.21948856296043573,,
2021-01-04 11:10:00+00:00,134.25,134.35,134.22,134.22,3113,79,134.291031,,,0.21081861529484058,,
2021-01-04 11:15:00+00:00,134.2,134.2,134.08,134.16,3487,76,134.144531,,,0.19683710512612151,,
2021-01-04 11:20:00+00:00,134.15,134.15,134.05,134.05,1164,24,134.116031,,,0.1748648438243663,,
2021-01-04 11:25:00+00:00,134.1,134.1,134.1,134.1,958,26,134.110585,,,0.15964595142187932,,
2021-01-04 11:30:00+00:00,134.19,134.35,134.19,134.35,5314,72,134.316645,,,0.16584601063451032,,
2021-01-04 11:35:00+00:00,134.34,134.34,134.25,134.25,2458,39,134.323686,,,0.16083641587931652,,
2021-01-04 11:40:00+00:00,134.2,134.2,134.15,134.15,1295,33,134.181846,,,0.1471014180981456,,
2021-01-04 11:45:00+00:00,134.19,134.19,134.1,134.1,1740,39,134.145023,,,0.13067540652485832,0.17401270330716379,-0.04333729678230547
2021-01-04 11:50:00+00:00,134.1,134.19,134.1,134.17,5286,77,134.158418,,,0.1219008914002302,0.16359034092577707,-0.04168944952554687
2021-01-04 11:55:00+00:00,134.15,134.17,133.6,133.99,13261,148,134.003231,,,0.099278112981807,0.15072789533698305,-0.051449782355176055
2021-01-04 12:00:00+00:00,133.92,134.0,133.65,133.8,89264,972,133.828289,,,0.06526564427238668,0.13363544512406378,-0.0683698008516771
2021-01-04 12:05:00+00:00,133.74,133.79,133.7,133.75,64734,490,133.740354,,,0.0338853266878516,0.11368542143682135,-0.07980009474896975
2021-01-04 12:10:00+00:00,133.74,133.77,133.69,133.75,62484,562,133.735483,,,0.008913450213469787,0.09273102719215105,-0.08381757697868127
2021-01-04 12:15:00+00:00,133.75,133.75,133.54,133.72,63753,622,133.6597,,,-0.013146150445521698,0.0715555916646165,-0.0847017421101382
2021-01-04 12:20:00+00:00,133.7,133.75,133.65,133.7,20750,446,133.701201,,,-0.03187494127013224,0.050869485077666754,-0.082744426347799
2021-01-04 12:25:00+00:00,133.7,133.76,133.66,133.74,22040,342,133.709992,,,-0.042994364950146746,0.03209671507210406,-0.0750910800222508
2021-01-04 12:30:00+00:00,133.75,133.98,133.75,133.96,42023,427,133.845775,,,-0.03366634230687282,0.018944103596308683,-0.05261044590318151
2021-01-04 12:35:00+00:00,133.97,133.98,133.85,133.9,44884,403,133.938432,,,-0.030760725223871077,0.009003137832272731,-0.03976386305614381
2021-01-04 12:40:00+00:00,133.9,133.96,133.85,133.85,15087,304,133.921143,,,-0.03212229901666319,0.000778050462485547,-0.03290034947914874
2021-01-04 12:45:00+00:00,133.86,133.9,133.75,133.86,24673,498,133.822643,,,-0.03202527222737217,-0.005782614075485997,-0.026242658151886172
2021-01-04 12:50:00+00:00,133.86,133.97,133.86,133.92,26285,315,133.921694,,,-0.026797968934033634,-0.009985685047195525,-0.016812283886838107
2021-01-04 12:55:00+00:00,133.92,133.96,133.9,133.95,18917,349,133.923335,,,-0.02000395103829078,-0.011989338245414576,-0.008014612792876203
2021-01-04 13:00:00+00:00,133.93,133.99,133.53,133.87,168612,1304,133.812055,,,-0.020834803672244107,-0.013758431330780484,-0.007076372341463622
2021-01-04 13:05:00+00:00,133.89,134.1,133.89,134.03,126268,717,134.014968,,,-0.008484790166960465,-0.01270370309801648,0.004218912931056015
2021-01-04 13:10:00+00:00,134.05,134.05,133.97,134.02,20038,389,134.010673,,,0.0004901183077095084,-0.010064938816871283,0.010555057124580791
2021-01-04 13:15:00+00:00,134.01,134.04,133.95,133.95,28489,454,134.001716,,,0.0019321107786822722,-0.007665528897760572,0.009597639676442844
2021-01-04 13:20:00+00:00,133.95,133.97,133.85,133.87,26224,883,133.91212,,,-0.0033419077785765694,-0.006800804673923772,0.003458896895347203
2021-01-04 13:25:00+00:00,133.86,133.93,133.76,133.8,41580,784,133.842743,,,-0.013019934764741947,-0.008044630692087409,-0.0049753040726545385
2021-01-04 13:30:00+00:00,133.79,133.82,133.71,133.79,29335,629,133.765201,,,-0.021251780012960353,-0.010686060556261999,-0.010565719456698354
2021-01-04 13:35:00+00:00,133.79,133.87,133.77,133.83,28675,528,133.827385,,,-0.024268162700167295,-0.013402480985043059,-0.010865681715124236
2021-01-04 13:40:00+00:00,133.83,133.9,133.8,133.86,38187,556,133.854498,,,-0.02396170283742549,-0.015514325355519547,-0.008447377481905945
2021-01-04 13:45:00+00:00,133.86,133.87,133.75,133.77,24571,607,133.801063,,,-0.030628018297250037,-0.018537063943865645,-0.012090954353384392
2021-01-04 13:50:00+00:00,133.78,133.8099,133.75,133.76,19740,556,133.779596,,,-0.03629959857718745,-0.022089570870530005,-0.014210027706657448
2021-01-04 13:55:00+00:00,133.76,133.83,133.73,133.83,48879,894,133.775309,,,-0.034745428157464175,-0.02462074232791684,-0.010124685829547335
